source,cluster_id,threshold,area_km2,prob_max,prob_mean,centroid_x,centroid_y,dist_to_known_m,n_known_inside,score_size,score_discovery,val_vtt_r100,val_rel_vis,val_dist_rijeka,val_strahler,val_aps_vis,pred_prob_mean_feat,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
thr85_all,910,0.85,0.0181,0.8693,0.8564,689780.6,5026337.5,827.46,0,0.015523,5.841419,Cambisols,-0.997,83.8,2,82.2,0.8488,0.17541,-0.01351,0.12612,0.03465,0.02743
thr85_all,911,0.85,0.015,0.8814,0.8636,684640.62,5026257.29,2387.56,0,0.012954,6.855853,Cambisols,-1.207,85.4,2,83.2,0.857,0.16571,-0.01368,0.12731,0.03605,0.04287
thr85_all,912,0.85,0.0331,0.8973,0.8717,660609.2,5026119.58,2681.96,0,0.028874,7.083857,Cambisols,1.792,203.3,1,102.1,0.8634,0.12795,0.07236,0.13778,0.01461,0.01197
thr85_all,913,0.85,0.0575,0.915,0.9023,560139.13,5026086.96,8133.2,0,0.051885,8.238951,Cambisols,24.032,239.6,1,507.4,0.9074,0.06914,0.22797,0.12226,0.01056,-0.02126
thr85_all,914,0.85,0.015,0.8664,0.8613,559538.54,5026141.67,8500.04,0,0.012919,7.839308,Cambisols,13.903,621.5,1,610.6,0.8614,0.06245,0.25512,0.05979,0.00885,-0.02352
thr85_all,915,0.85,0.0112,0.883,0.8656,672355.56,5026130.56,3038.18,0,0.009738,7.080682,Cambisols,0.861,143.5,1,89.5,0.8808,0.13383,0.06947,0.13021,0.01777,0.03079
thr85_all,916,0.85,0.04,0.8825,0.8652,681960.94,5026100.39,1416.87,0,0.034609,6.404164,Cambisols,0.931,144.0,2,86.6,0.8679,0.13137,0.05476,0.11883,0.02668,0.03756
thr85_all,917,0.85,0.0312,0.915,0.9015,561104.5,5026040.0,7644.2,0,0.028171,8.182219,Cambisols,15.197,260.1,1,494.1,0.9096,0.07115,0.22837,0.11667,0.01187,-0.01717
thr85_all,918,0.85,0.0144,0.877,0.8656,681370.11,5026079.89,1567.88,0,0.012442,6.453036,Cambisols,1.127,130.3,2,87.1,0.8639,0.12981,0.05049,0.12618,0.0272,0.03146
thr85_all,919,0.85,0.0175,0.883,0.8647,688348.21,5025995.54,1144.0,0,0.015132,6.219056,Cambisols,1.106,134.5,2,86.2,0.8611,0.12812,0.04313,0.12614,0.02712,0.03785
